iter	Passed	Remaining
0	4	1216
1	7	1154
2	12	1273
3	16	1249
4	20	1214
5	24	1218
6	28	1187
7	32	1178
8	35	1161
9	39	1159
10	43	1155
11	47	1137
12	51	1135
13	55	1129
14	58	1120
15	62	1111
16	66	1100
17	70	1100
18	73	1091
19	78	1093
20	81	1083
21	85	1078
22	89	1072
23	92	1069
24	96	1065
25	100	1058
26	104	1060
27	108	1053
28	112	1049
29	115	1043
30	119	1037
31	134	1130
32	138	1121
33	141	1109
34	145	1101
35	149	1095
36	152	1087
37	156	1079
38	159	1069
39	164	1066
40	167	1059
41	171	1053
42	174	1044
43	179	1042
44	182	1036
45	186	1030
46	190	1025
47	194	1020
48	198	1016
49	201	1009
50	205	1005
51	209	1000
52	213	994
53	217	989
54	220	982
55	224	979
56	228	973
57	232	968
58	235	963
59	239	958
60	244	956
61	247	950
62	251	946
63	255	941
64	258	936
65	262	930
66	266	925
67	269	919
68	273	914
69	277	911
70	281	906
71	285	902
72	288	898
73	292	894
74	297	891
75	301	887
76	305	884
77	308	878
78	312	875
79	316	871
80	320	865
81	324	862
82	328	857
83	332	854
84	335	848
85	339	844
86	342	839
87	346	835
88	350	830
89	354	826
90	358	822
91	361	817
92	365	813
93	367	804
94	371	800
95	374	796
96	378	792
97	382	787
98	385	783
99	389	778
100	393	775
101	397	772
102	401	767
103	405	763
104	408	759
105	412	755
106	416	750
107	419	746
108	423	742
109	427	737
110	431	734
111	434	729
112	439	726
113	442	721
114	446	717
115	449	713
116	453	709
117	457	705
118	461	702
119	465	698
120	470	695
121	473	690
122	477	686
123	480	682
124	484	678
125	488	674
126	492	671
127	496	667
128	500	663
129	505	660
130	509	656
131	513	653
132	517	649
133	520	645
134	524	641
135	528	636
136	532	633
137	536	629
138	539	625
139	543	620
140	546	616
141	550	613
142	554	608
143	558	604
144	561	600
145	565	596
146	569	593
147	573	588
148	577	584
149	581	581
150	585	577
151	588	573
152	592	569
153	596	565
154	600	561
155	604	557
156	608	553
157	612	550
158	615	546
159	619	542
160	622	537
161	627	534
162	631	530
163	634	526
164	638	522
165	642	518
166	646	514
167	650	510
168	653	506
169	658	503
170	661	499
171	665	495
172	668	490
173	672	487
174	676	482
175	679	478
176	683	474
177	687	470
178	691	467
179	695	463
180	699	459
181	702	455
182	706	451
183	710	447
184	713	443
185	718	440
186	721	436
187	725	432
188	729	428
189	733	424
190	736	420
191	740	416
192	745	413
193	748	408
194	752	405
195	755	401
196	759	397
197	763	393
198	766	389
199	770	385
200	773	381
201	778	377
202	781	373
203	785	369
204	788	365
205	792	361
206	796	357
207	800	354
208	804	350
209	807	346
210	811	342
211	815	338
212	819	334
213	822	330
214	826	326
215	829	322
216	833	318
217	837	315
218	840	311
219	845	307
220	848	303
221	852	299
222	855	295
223	859	291
224	863	287
225	867	283
226	870	279
227	874	276
228	878	272
229	881	268
230	885	264
231	889	260
232	893	256
233	896	252
234	900	249
235	904	245
236	907	241
237	911	237
238	915	233
239	919	229
240	922	225
241	926	221
242	929	218
243	933	214
244	937	210
245	941	206
246	945	202
247	948	198
248	952	195
249	956	191
250	959	187
251	962	183
252	967	179
253	971	175
254	975	172
255	978	168
256	982	164
257	986	160
258	990	156
259	993	152
260	997	149
261	1001	145
262	1006	141
263	1010	137
264	1013	133
265	1018	130
266	1021	126
267	1025	122
268	1028	118
269	1032	114
270	1037	110
271	1040	107
272	1045	103
273	1048	99
274	1052	95
275	1056	91
276	1059	87
277	1063	84
278	1067	80
279	1071	76
280	1074	72
281	1078	68
282	1082	64
283	1085	61
284	1089	57
285	1092	53
286	1096	49
287	1099	45
288	1103	42
289	1107	38
290	1111	34
291	1114	30
292	1118	26
293	1122	22
294	1126	19
295	1129	15
296	1134	11
297	1138	7
298	1142	3
299	1146	0
